systime,devtime,packno,status,controltype,error,limb,mechanism,angle,hocdisp,button,trialno,assessmentstate
2026-06-01 10:16:25.227009,2863.369,15966,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.228055,2863.3740000000003,15967,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.228055,2863.379,15968,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.229001,2863.385,15969,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.229001,2863.39,15970,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.229001,2863.395,15971,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.230052,2863.401,15972,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.230052,2863.406,15973,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.230052,2863.411,15974,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.302439,2863.417,15975,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.303358,2863.422,15976,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.303358,2863.427,15977,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.303358,2863.4320000000002,15978,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.304359,2863.438,15979,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.304359,2863.443,15980,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.305413,2863.448,15981,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.305413,2863.454,15982,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.306359,2863.459,15983,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.306359,2863.464,15984,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.306359,2863.4700000000003,15985,1,0,4,,3,-10.968751907348633,1.1486450137058497,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.307358,2863.475,15986,1,0,4,,3,-10.982813835144043,1.1501175753410955,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.307358,2863.48,15987,1,0,4,,3,-11.06718921661377,1.158953344626733,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.308420,2863.485,15988,1,0,4,,3,-11.193751335144043,1.1722068986866487,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.381211,2863.491,15989,1,0,4,,3,-11.41875171661377,1.1957688835359885,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.382199,2863.496,15990,1,0,4,,3,-11.587501525878906,1.213440322238723,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.382199,2863.501,15991,1,0,4,,3,-11.798439025878906,1.2355296455842761,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.383198,2863.507,15992,1,0,4,,3,-12.009376525878906,1.2576189689298294,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.383198,2863.512,15993,1,0,4,,3,-12.248438835144043,1.282653515414415,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.384199,2863.5170000000003,15994,1,0,4,,3,-12.445314407348633,1.3032702771247224,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.385199,2863.523,15995,1,0,4,,3,-12.670313835144043,1.3268321621055215,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.385199,2863.5280000000002,15996,1,0,4,,3,-12.89531421661377,1.3503941469548613,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.386200,2863.533,15997,1,0,4,,3,-13.162501335144043,1.378373916578479,1,0,WAIT_TO_MOVE
2026-06-01 10:16:25.386200,2863.538,15998,1,0,4,,3,-13.373438835144043,1.4004632399240322,1,0,CYCLING
2026-06-01 10:16:25.387199,2863.544,15999,1,0,4,,3,-13.626564025878906,1.4269704479124041,1,0,CYCLING
2026-06-01 10:16:25.389199,2863.549,16000,1,0,4,,3,-13.87968921661377,1.4534776559007763,1,0,CYCLING
2026-06-01 10:16:25.389199,2863.554,16001,1,0,4,,3,-14.203126907348633,1.4873479716709994,1,0,CYCLING
2026-06-01 10:16:25.442320,2863.56,16002,1,0,4,,3,-14.52656364440918,1.5212181875726816,1,0,CYCLING
2026-06-01 10:16:25.443180,2863.565,16003,1,0,4,,3,-14.906251907348633,1.5609790494895102,1,0,CYCLING
2026-06-01 10:16:25.444263,2863.57,16004,1,0,4,,3,-15.28593921661377,1.6007398115377978,1,0,CYCLING
2026-06-01 10:16:25.444263,2863.576,16005,1,0,4,,3,-15.77812671661377,1.6522815660107553,1,0,CYCLING
2026-06-01 10:16:25.445183,2863.581,16006,1,0,4,,3,-16.28437614440918,1.7052958821189586,1,0,CYCLING
2026-06-01 10:16:25.445183,2863.5860000000002,16007,1,0,4,,3,-16.860939025878906,1.7656734058775538,1,0,CYCLING
2026-06-01 10:16:25.445183,2863.591,16008,1,0,4,,3,-17.40937614440918,1.8231056066285758,1,0,CYCLING
2026-06-01 10:16:25.446179,2863.597,16009,1,0,4,,3,-17.97187614440918,1.8820104688833843,1,0,CYCLING
2026-06-01 10:16:25.446179,2863.602,16010,1,0,4,,3,-18.618751525878906,1.9497511004238306,1,0,CYCLING
2026-06-01 10:16:25.447179,2863.607,16011,1,0,4,,3,-19.153125762939453,2.005710639671066,1,0,CYCLING
2026-06-01 10:16:25.447179,2863.6130000000003,16012,1,0,4,,3,-19.70156478881836,2.06314304015917,1,0,CYCLING
2026-06-01 10:16:25.448179,2863.618,16013,1,0,4,,3,-20.235939025878906,2.1191025794064053,1,0,CYCLING
2026-06-01 10:16:25.448179,2863.623,16014,1,0,4,,3,-20.75625228881836,2.173589656886936,1,0,CYCLING
2026-06-01 10:16:25.448179,2863.629,16015,1,0,4,,3,-21.290626525878906,2.2295491961341716,1,0,CYCLING
2026-06-01 10:16:25.520799,2863.634,16016,1,0,4,,3,-21.782814025878906,2.2810909506071293,1,0,CYCLING
2026-06-01 10:16:25.521665,2863.639,16017,1,0,4,,3,-22.275001525878906,2.3326327050800866,1,0,CYCLING
2026-06-01 10:16:25.522664,2863.645,16018,1,0,4,,3,-22.75312614440918,2.3827017980492577,1,0,CYCLING
2026-06-01 10:16:25.522664,2863.65,16019,1,0,4,,3,-23.24531364440918,2.434243552522215,1,0,CYCLING
2026-06-01 10:16:25.522664,2863.655,16020,1,0,4,,3,-23.73750114440918,2.4857853069951727,1,0,CYCLING
2026-06-01 10:16:25.523664,2863.66,16021,1,0,4,,3,-24.22968864440918,2.5373270614681305,1,0,CYCLING
2026-06-01 10:16:25.523664,2863.666,16022,1,0,4,,3,-24.750001907348633,2.591814138948661,1,0,CYCLING
2026-06-01 10:16:25.524664,2863.6710000000003,16023,1,0,4,,3,-25.228126525878906,2.641883231917832,1,0,CYCLING
2026-06-01 10:16:25.524664,2863.676,16024,1,0,4,,3,-25.74843978881836,2.6963703093983624,1,0,CYCLING
2026-06-01 10:16:25.525666,2863.6820000000002,16025,1,0,4,,3,-26.19843864440918,2.7434940793599605,1,0,CYCLING
2026-06-01 10:16:25.525666,2863.687,16026,1,0,4,,3,-26.66250228881836,2.7920907105624266,1,0,CYCLING
2026-06-01 10:16:25.525666,2863.692,16027,1,0,4,,3,-27.056251525878906,2.83332403424596,1,0,CYCLING
2026-06-01 10:16:25.526665,2863.698,16028,1,0,4,,3,-27.450000762939453,2.8745573579294934,1,0,CYCLING
2026-06-01 10:16:25.582413,2863.703,16029,1,0,4,,3,-27.81562614440918,2.9128455583425352,1,0,CYCLING
2026-06-01 10:16:25.583431,2863.708,16030,1,0,4,,3,-28.195314407348633,2.9526064202593636,1,0,CYCLING
2026-06-01 10:16:25.583431,2863.713,16031,1,0,4,,3,-28.575000762939453,2.9923670824391104,1,0,CYCLING
2026-06-01 10:16:25.584430,2863.719,16032,1,0,4,,3,-28.898439407348633,3.0262374980778746,1,0,CYCLING
2026-06-01 10:16:25.585802,2863.724,16033,1,0,4,,3,-29.250001907348633,3.06305303698713,1,0,CYCLING
2026-06-01 10:16:25.585802,2863.7290000000003,16034,1,0,4,,3,-29.587501525878906,3.0983959143925985,1,0,CYCLING
2026-06-01 10:16:25.585802,2863.735,16035,1,0,4,,3,-29.96718978881836,3.1381567763094274,1,0,CYCLING
2026-06-01 10:16:25.586515,2863.7400000000002,16036,1,0,4,,3,-30.360939025878906,3.1793900999929607,1,0,CYCLING
2026-06-01 10:16:25.586515,2863.745,16037,1,0,4,,3,-30.712501525878906,3.216205638902216,1,0,CYCLING
2026-06-01 10:16:25.587443,2863.751,16038,1,0,4,,3,-31.05000114440918,3.2515485163076847,1,0,CYCLING
2026-06-01 10:16:25.587443,2863.756,16039,1,0,4,,3,-31.387500762939453,3.2868913937131534,1,0,CYCLING
2026-06-01 10:16:25.587443,2863.761,16040,1,0,4,,3,-31.75312614440918,3.3251795941261957,1,0,CYCLING
2026-06-01 10:16:25.588431,2863.766,16041,1,0,4,,3,-32.118751525878906,3.3634677945392375,1,0,CYCLING
2026-06-01 10:16:25.588431,2863.772,16042,1,0,4,,3,-32.38594055175781,3.391447763899937,1,0,CYCLING
2026-06-01 10:16:25.660901,2863.777,16043,1,0,4,,3,-32.70937728881836,3.425317979801619,1,0,CYCLING
2026-06-01 10:16:25.661760,2863.782,16044,1,0,4,,3,-33.032814025878906,3.4591881957033017,1,0,CYCLING
2026-06-01 10:16:25.662783,2863.788,16045,1,0,4,,3,-33.2578125,3.4827499808155595,1,0,CYCLING
2026-06-01 10:16:25.662783,2863.793,16046,1,0,4,,3,-33.55312728881836,3.513675273183832,1,0,CYCLING
2026-06-01 10:16:25.662783,2863.7980000000002,16047,1,0,4,,3,-33.83437728881836,3.5431277043112366,1,0,CYCLING
2026-06-01 10:16:25.663760,2863.804,16048,1,0,4,,3,-34.07344055175781,3.568162350664363,1,0,CYCLING
2026-06-01 10:16:25.663760,2863.809,16049,1,0,4,,3,-34.368751525878906,3.599087243558472,1,0,CYCLING
2026-06-01 10:16:25.664760,2863.814,16050,1,0,4,,3,-34.62187576293945,3.6255943516783034,1,0,CYCLING
2026-06-01 10:16:25.664760,2863.819,16051,1,0,4,,3,-34.931251525878906,3.6579921058132805,1,0,CYCLING
